REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S3D3,PWRGEOTZAXX01,1,2038,5.755507877364478
GLOBAL,S3D3,PWRHYDKENXX01,1,2038,0.803677368146976
GLOBAL,S3D3,PWRHYDTZAXX01,1,2038,0.39101761898496
GLOBAL,S3D3,PWRSPVKENXX01,1,2038,2.769525446523467
GLOBAL,S3D3,PWRSPVTZAXX01,1,2038,3.984474503650562
GLOBAL,S3D3,PWRTRNKENXX,1,2038,6.798
GLOBAL,S3D3,PWRTRNTZAXX,1,2038,10.131
GLOBAL,S3D3,PWRWONKENXX01,1,2038,0.10209977099999999
GLOBAL,S3D3,RNWGEOKENXX,1,2038,3.122697414329557
GLOBAL,S3D3,RNWGEOTZAXX,1,2038,5.755507877364478
GLOBAL,S3D3,RNWHYDKENXX,1,2038,0.803677368146976
GLOBAL,S3D3,RNWHYDTZAXX,1,2038,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2038,2.769525446523467
GLOBAL,S3D3,RNWSPVTZAXX,1,2038,3.984474503650562
GLOBAL,S3D3,RNWWONKENXX,1,2038,0.10209977099999999
GLOBAL,S3D3,PWRGEOKENXX01,1,2039,3.3254129211098915
GLOBAL,S3D3,PWRGEOTZAXX01,1,2039,6.082400379332011
GLOBAL,S3D3,PWRHYDKENXX01,1,2039,0.803677368146976
GLOBAL,S3D3,PWRHYDTZAXX01,1,2039,0.39101761898496
GLOBAL,S3D3,PWRSPVKENXX01,1,2039,2.9081239397431324
GLOBAL,S3D3,PWRSPVTZAXX01,1,2039,4.196382001683029
GLOBAL,S3D3,PWRTRNKENXX,1,2039,7.1382
GLOBAL,S3D3,PWRTRNTZAXX,1,2039,10.6698
GLOBAL,S3D3,PWRWONKENXX01,1,2039,0.10209977099999999
GLOBAL,S3D3,RNWGEOKENXX,1,2039,3.3254129211098915
GLOBAL,S3D3,RNWGEOTZAXX,1,2039,6.082400379332011
GLOBAL,S3D3,RNWHYDKENXX,1,2039,0.803677368146976
GLOBAL,S3D3,RNWHYDTZAXX,1,2039,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2039,2.9081239397431324
GLOBAL,S3D3,RNWSPVTZAXX,1,2039,4.196382001683029
GLOBAL,S3D3,RNWWONKENXX,1,2039,0.10209977099999999
GLOBAL,S3D3,PWRSDSKENXX01,1,2039,0.001114
GLOBAL,S3D3,PWRGEOKENXX01,1,2040,3.5273699861032437
GLOBAL,S3D3,PWRGEOTZAXX01,1,2040,6.409292881299543
GLOBAL,S3D3,PWRHYDKENXX01,1,2040,0.803677368146976
GLOBAL,S3D3,PWRHYDTZAXX01,1,2040,0.39101761898496
GLOBAL,S3D3,PWRSPVKENXX01,1,2040,3.04696687474978
GLOBAL,S3D3,PWRSPVTZAXX01,1,2040,4.4082894997154956
GLOBAL,S3D3,PWRTRNKENXX,1,2040,7.479000000000001
GLOBAL,S3D3,PWRTRNTZAXX,1,2040,11.2086
GLOBAL,S3D3,PWRWONKENXX01,1,2040,0.10209977099999999
GLOBAL,S3D3,RNWGEOKENXX,1,2040,3.5273699861032437
GLOBAL,S3D3,RNWGEOTZAXX,1,2040,6.409292881299543
GLOBAL,S3D3,RNWHYDKENXX,1,2040,0.803677368146976
GLOBAL,S3D3,RNWHYDTZAXX,1,2040,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2040,3.04696687474978
GLOBAL,S3D3,RNWSPVTZAXX,1,2040,4.4082894997154956
